algorithm_class,N,chi,status,estimate,exact_count,absolute_error,relative_error,median_elapsed_s,min_elapsed_s,max_elapsed_s,estimate_min,estimate_max,repeats,warmup,peak_rss_bytes,peak_sparse_support,peak_dense_mps_elements,peak_retained_bond,peak_working_bond,peak_pretruncate_rank,svd_calls,svd_qr_fallbacks,truncated_svd_calls,max_discarded_fraction,sum_discarded_fraction,svd_elapsed_s,tensor_entries_examined,tensor_entries_accepted,blas_threads,julia_threads,truncation_occurred
truncated_boundary_mps_float64,13,4,approximate_diagnostic,3.7542046132494258e-09,73712,73711.999999996246,0.99999999999994904,0.398888900,0.394825438,0.399331119,3.7542046132494258e-09,3.7542046132494258e-09,3,1,409604096,NA,1516,4,8,8,1608,0,288,0.33333330824846447,11.758907776420187,0.016205655,2873,2665,128,1,true
truncated_boundary_mps_float64,13,8,approximate_diagnostic,1.1084413672340385,73712,73710.891558632764,0.99998496253843017,0.723884016,0.722340065,0.725882617,1.1084413672340385,1.1084413672340385,3,1,384786432,NA,5184,8,14,16,1608,0,327,0.26157000456604568,10.617864124060919,0.041093463,2873,2665,128,1,true
truncated_boundary_mps_float64,13,16,approximate_diagnostic,-7.9022014638440365e-17,73712,73712,1,1.549221993,1.545927166,1.551418887,-7.9022014638440365e-17,-7.9022014638440365e-17,3,1,381816832,NA,19884,16,24,30,1608,0,301,0.22951197284506253,9.6063291519668237,0.119338872,2873,2665,128,1,true
truncated_boundary_mps_float64,14,4,approximate_diagnostic,-1.6953074216320803e-17,365596,365596,1,0.479634091,0.479274594,0.480362146,-1.6953074216320803e-17,-1.6953074216320803e-17,3,1,389816320,NA,1628,4,8,8,1885,0,305,0.3749999999999995,12.648942382703705,0.020315646,3332,3108,128,1,true
truncated_boundary_mps_float64,14,8,approximate_diagnostic,1.3135573880414027,365596,365594.68644261197,0.99999640707943183,1.001726129,0.996772209,1.002656288,1.3135573880414027,1.3135573880414027,3,1,399642624,NA,6078,8,16,16,1885,0,394,0.2904881821502312,11.642131416801627,0.053917525,3332,3108,128,1,true
truncated_boundary_mps_float64,14,16,approximate_diagnostic,1.400685815039326,365596,365594.59931418498,0.99999616876055808,2.130282850,2.114244826,2.229476424,1.400685815039326,1.400685815039326,3,1,389148672,NA,21840,16,27,30,1885,0,378,0.18779165798387465,10.595965525296203,0.155199015,3332,3108,128,1,true
truncated_boundary_mps_float64,15,4,approximate_diagnostic,-2.6003942504318701e-16,2279184,2279184,1,0.584721923,0.582821005,0.586948868,-2.6003942504318701e-16,-2.6003942504318701e-16,3,1,391860224,NA,1906,4,8,8,2184,0,346,0.31756246941012062,13.99504860108015,0.022078973,3825,3585,128,1,true
truncated_boundary_mps_float64,15,8,approximate_diagnostic,3.0147848914682464e-13,2279184,2279184,1,1.224549839,1.220624910,1.227232333,3.0147848914682464e-13,3.0147848914682464e-13,3,1,389476352,NA,6524,8,16,16,2184,0,465,0.30943633612401533,14.061396475978158,0.062664547,3825,3585,128,1,true
truncated_boundary_mps_float64,15,16,approximate_diagnostic,-4.6306481724620099e-06,2279184,2279184.0000046305,1.0000000000020317,2.699999225,2.662553679,2.837970413,-4.6306481724620099e-06,-4.6306481724620099e-06,3,1,395190272,NA,23752,16,28,31,2184,0,491,0.21746758178339365,13.060039486050867,0.184387866,3825,3585,128,1,true
truncated_boundary_mps_float64,16,4,approximate_diagnostic,1.3661467542839992e-14,14772512,14772512,1,0.737627682,0.735477457,0.737638461,1.3661467542839992e-14,1.3661467542839992e-14,3,1,412893184,NA,1908,4,8,8,2505,0,451,0.34078604161361142,17.069732731776305,0.025012426,4352,4096,128,1,true
truncated_boundary_mps_float64,16,8,approximate_diagnostic,-2.8921863756320917e-07,14772512,14772512.000000289,1.0000000000000195,1.546343297,1.536864736,1.551452670,-2.8921863756320917e-07,-2.8921863756320917e-07,3,1,410898432,NA,7012,8,14,16,2505,0,600,0.26368997401388999,14.708975861940136,0.071190238,4352,4096,128,1,true
truncated_boundary_mps_float64,16,16,approximate_diagnostic,1.0639399373725669,14772512,14772510.936060064,0.99999992797840098,3.494206533,3.362554472,3.518134721,1.0639399373725669,1.0639399373725669,3,1,475127808,NA,25936,16,29,30,2505,0,567,0.25291482739798948,14.458916063780007,0.228164637,4352,4096,128,1,true
truncated_boundary_mps_float64,17,4,approximate_diagnostic,-7.4455232033819415e-16,95815104,95815104,1,0.862010397,0.847312430,0.871644566,-7.4455232033819415e-16,-7.4455232033819415e-16,3,1,388583424,NA,2026,4,8,8,2848,0,459,0.4815731890960715,18.078032660171274,0.027775693,4913,4641,128,1,true
truncated_boundary_mps_float64,17,8,approximate_diagnostic,0.6320152640156812,95815104,95815103.367984742,0.99999999340380341,1.838499413,1.838122226,1.843904090,0.6320152640156812,0.6320152640156812,3,1,388046848,NA,7664,8,16,16,2848,0,644,0.2612557048494365,16.5992605774846,0.078789163,4913,4641,128,1,true
truncated_boundary_mps_float64,17,16,approximate_diagnostic,3.0949854479096812,95815104,95815100.905014545,0.9999999676983552,4.178223527,4.013140101,4.209078945,3.0949854479096812,3.0949854479096812,3,1,486821888,NA,27984,16,27,31,2848,0,610,0.20022846867433591,15.655281264422126,0.239822627,4913,4641,128,1,true
truncated_boundary_mps_float64,18,4,approximate_diagnostic,-2.1612632849593097e-27,666090624,666090624,1,1.138253249,1.135183669,1.145905508,-2.1612632849593097e-27,-2.1612632849593097e-27,3,1,416329728,NA,2268,4,8,8,3213,0,601,0.42849352809227048,19.458944237859676,0.033695454,5508,5220,128,1,true
truncated_boundary_mps_float64,18,8,approximate_diagnostic,-4.7631585515364338e-19,666090624,666090624,1,2.274781530,2.266872505,2.282659553,-4.7631585515364338e-19,-4.7631585515364338e-19,3,1,406691840,NA,8372,8,16,16,3213,0,670,0.32843445452249564,17.742848499084126,0.094454454,5508,5220,128,1,true
truncated_boundary_mps_float64,18,16,approximate_diagnostic,1.1475080521054504,666090624,666090622.85249197,0.99999999827724939,4.834475409,4.716735722,4.896836445,1.1475080521054504,1.1475080521054504,3,1,460271616,NA,30032,16,31,31,3213,0,728,0.24636789608733384,18.024595594332091,0.269488613,5508,5220,128,1,true
truncated_boundary_mps_float64,19,4,approximate_diagnostic,-1.2256977881095729e-25,4968057848,4968057848,1,1.237393545,1.235619040,1.259189831,-1.2256977881095729e-25,-1.2256977881095729e-25,3,1,384745472,NA,2386,4,8,8,3600,0,603,0.42566415308236272,20.734074888634204,0.035094831,6137,5833,128,1,true
truncated_boundary_mps_float64,19,8,approximate_diagnostic,9.0489363793994827e-22,4968057848,4968057848,1,2.706205697,2.705860302,2.714617032,9.0489363793994827e-22,9.0489363793994827e-22,3,1,384077824,NA,9298,8,15,16,3600,0,897,0.31197976709682845,20.071453192097913,0.101351420,6137,5833,128,1,true
truncated_boundary_mps_float64,19,16,approximate_diagnostic,3.6257497798814309e-13,4968057848,4968057848,1,5.864686554,5.726833363,5.866140228,3.6257497798814309e-13,3.6257497798814309e-13,3,1,405610496,NA,32080,16,30,31,3600,0,821,0.22011409857335881,19.405931868619192,0.312275600,6137,5833,128,1,true
truncated_boundary_mps_float64,20,4,approximate_diagnostic,-2.2319481538679199e-27,39029188884,39029188884,1,1.515280338,1.508254710,1.522583079,-2.2319481538679199e-27,-2.2319481538679199e-27,3,1,395264000,NA,2422,4,8,8,4009,0,639,0.40000026561125779,22.770361886886985,0.042382637,6800,6480,128,1,true
truncated_boundary_mps_float64,20,8,approximate_diagnostic,1.9851417752368534,39029188884,39029188882.014854,0.99999999994913691,2.962591416,2.962142324,2.992818535,1.9851417752368534,1.9851417752368534,3,1,387846144,NA,8840,8,16,16,4009,0,881,0.35878089536520114,22.775571534477269,0.107875433,6800,6480,128,1,true
truncated_boundary_mps_float64,20,16,approximate_diagnostic,2.1270205173825207,39029188884,39029188881.872978,0.99999999994550182,6.812031919,6.807543345,6.827064781,2.1270205173825207,2.1270205173825207,3,1,453865472,NA,34128,16,31,31,4009,0,857,0.27601327045248381,21.737384393698477,0.346062224,6800,6480,128,1,true
