algorithm_class,N,chi,status,estimate,exact_count,absolute_error,relative_error,median_elapsed_s,min_elapsed_s,max_elapsed_s,estimate_min,estimate_max,repeats,warmup,peak_rss_bytes,peak_sparse_support,peak_dense_mps_elements,peak_retained_bond,peak_pretruncate_rank,svd_calls,truncated_svd_calls,max_discarded_fraction,sum_discarded_fraction,svd_elapsed_s,tensor_entries_examined,tensor_entries_accepted,blas_threads,julia_threads,truncation_occurred
truncated_boundary_mps_float64,8,4,approximate_diagnostic,9.9142221551759388e-06,92,91.999990085777839,0.99999989223671559,0.007332890,0.007226808,0.007340971,9.9142221551759388e-06,9.9142221551759388e-06,3,1,368984064,NA,832,4,8,553,132,0.33331653714484166,3.7834725688341404,0.004580238,1088,960,128,1,true
truncated_boundary_mps_float64,8,8,approximate_diagnostic,-0.00881801409285142,92,92.008818014092853,1.0000958479792701,0.017337836,0.016665782,0.029569096,-0.00881801409285142,-0.00881801409285142,3,1,379899904,NA,2768,8,16,553,175,0.24254730055426493,3.1088250456607374,0.011761871,1088,960,128,1,true
truncated_boundary_mps_float64,8,16,approximate_diagnostic,0.0026103897968626287,92,91.997389610203143,0.99997162619786029,0.052259442,0.051744162,0.052627210,0.0026103897968626287,0.0026103897968626287,3,1,445947904,NA,9960,16,31,553,206,0.15914215923451375,3.175464811081556,0.038076123,1088,960,128,1,true
truncated_boundary_mps_float64,8,32,approximate_diagnostic,0.094308444576453362,92,91.905691555423545,0.99897490821112545,0.322160751,0.320962457,0.324075931,0.094308444576453362,0.094308444576453362,3,1,512970752,NA,35312,32,64,553,173,0.092405664556839268,2.1764915694382045,0.255167579,1088,960,128,1,true
truncated_boundary_mps_float64,8,64,approximate_diagnostic,7.2706677357929808,92,84.729332264207017,0.92097100287181544,1.990792463,1.974964047,2.002369180,7.2706677357929808,7.2706677357929808,3,1,519819264,NA,98992,64,128,553,90,0.15511821491704936,1.5131461640989192,1.683554055,1088,960,128,1,true
truncated_boundary_mps_float64,8,128,approximate_diagnostic,24.307942800256086,92,67.692057199743914,0.73578323043199911,5.202598104,5.079816007,5.892062897,24.307942800256086,24.307942800256086,3,1,716959744,NA,333736,128,256,553,61,0.088940630652351305,0.89600461504660645,4.158357895,1088,960,128,1,true
truncated_boundary_mps_float64,9,4,approximate_diagnostic,-8.4794706677029423e-17,352,352,1,0.009812592,0.009646578,0.009954765,-8.4794706677029423e-17,-8.4794706677029423e-17,3,1,403640320,NA,960,4,8,720,195,0.33333333333333309,4.8362927101901532,0.006165908,1377,1233,128,1,true
truncated_boundary_mps_float64,9,8,approximate_diagnostic,0.00010476933202628141,352,351.99989523066796,0.99999970235985214,0.023995552,0.023917721,0.039964330,0.00010476933202628141,0.00010476933202628141,3,1,379293696,NA,3280,8,16,720,245,0.15623324793037432,2.793876281125633,0.016278623,1377,1233,128,1,true
